"AF,Ext,Ranking,grounded,
"
"<{ A0 },[]>",{A0},{A0=1},{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A3,A0), (A3,A2)]>",{A1},"{A1=1, A2=0.3157894736842105263157894736842105, A3=0.5, A0=0.6666666666666666666666666666666667}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A1), (A3,A0)]>",{A3},"{A1=0.0, A2=0.6554267001421946558129591215951258, A3=1, A0=0.3765793555684507705395768525189702}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A0), (A2,A3), (A0,A1), (A3,A2)]>",{},"{A1=0.6180371352785145888594164456233422, A2=0.0, A3=0.7309781145099841409534974748401909, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A2,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.4142259414225941422594142259414226, A2=0.7071129707112970711297071129707113, A0=0.7071129707112970711297071129707113}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A3), (A3,A1), (A1,A0)]>",{},"{A1=0.7429703526352946207218836948321466, A2=0.5737452218212694239817900737143639, A3=0.3459769518932950145066828504430332, A0=0.5737452218212694239817900737143639}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A0,A0), (A2,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A0), (A0,A1), (A3,A2)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.0, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A2,A3), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A1,A0), (A3,A2)]>",{},"{A1=0.0, A2=0.4316731327573274140390653029005002, A3=0.6984646454461457617291838557022676, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A2,A3), (A0,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.3503649635036496350364963503649635, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A1), (A3,A0), (A3,A1)]>",{},"{A1=0.0, A2=0.7389738131084987693761007163779477, A3=0.7389738131084987693761007163779477, A0=0.5750412887889771096982232617115976}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A2,A3), (A3,A1), (A1,A0)]>",{},"{A1=0.6956304068817543298224696745205227, A2=0.5897626634832185047806221814126114, A3=0.4375731132760947779195982044282432, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A0,A1), (A3,A0), (A3,A1)]>",{},"{A1=0.3383557768182469106382092298604157, A2=0.7471984863291056375595314943603542, A3=0.5723554298782513187753627587444429, A0=0.6359988027993069375553914759781855}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A1,A0), (A3,A2)]>",{},"{A1=0.7071129707112970711297071129707113, A2=0.4142259414225941422594142259414226, A3=0.7071129707112970711297071129707113, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A3), (A0,A3), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.3503649635036496350364963503649635, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A0), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A0,A1), (A3,A0), (A3,A1)]>",{},"{A1=0.3247253996162403324701706790666775, A2=0.7548880324855216640970607492568091, A3=0.7548880324855216640970607492568091, A0=0.5698484951833931281566306006066314}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3), (A0,A3), (A3,A1), (A1,A0)]>",{},"{A1=0.7187014312508995996464268759228277, A2=0.5818255283018969436860329966582185, A3=0.0, A0=0.5818255283018969436860329966582185}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A3), (A0,A2), (A3,A2)]>",{},"{A1=0.7675954047273207447510893965403407, A2=0.3027862141819622342532681896210220, A3=0.7675954047273207447510893965403407, A0=0.7675954047273207447510893965403407}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.7389738131084987693761007163779477, A3=0.7389738131084987693761007163779477, A0=0.7389738131084987693761007163779477}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3), (A3,A0), (A3,A1), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.3503649635036496350364963503649635}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A1), (A1,A0), (A3,A2)]>",{},"{A1=0.5897626634832185047806221814126114, A2=0.4375731132760947779195982044282432, A3=0.6956304068817543298224696745205227, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A0), (A0,A1), (A3,A2)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.0, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A1), (A3,A0), (A3,A1)]>",{},"{A1=0.0, A2=0.7309781145099841409534974748401909, A3=0.0, A0=0.6180371352785145888594164456233422}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=0.4472049689440993788819875776397515}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A1), (A3,A0), (A3,A1)]>",{},"{A1=0.0, A2=0.7282525061596426556981828888799331, A3=0.7282525061596426556981828888799331, A0=0.5786090863799407852495993259792405}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A2,A3), (A0,A3), (A3,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.3349847025724159478743776601547160, A0=0.7490548581806979752453838655326448}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A2,A3), (A0,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0), (A2,A3), (A0,A2)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.4841930959904026494094587972897622, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0), (A0,A2), (A0,A3)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A0,A0), (A2,A3), (A0,A2)]>",{},"{A1=0.6984646454461457617291838557022676, A2=0.4316731327573274140390653029005002, A3=0.4694342547121846003112685128330097, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2), (A2,A3), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A1), (A3,A2)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A2), (A0,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.3027718550106609808102345415778252, A3=0.3027718550106609808102345415778252, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A2,A3), (A0,A2), (A3,A1)]>",{},"{A1=0.6789078468210199219638066227060187, A2=0.4353705064276946292454611145719261, A3=0.4729887774889217128117992167017205, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1)]>",{},"{A1=0.4375731132760947779195982044282432, A2=0.6956304068817543298224696745205227, A0=0.5897626634832185047806221814126114}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2), (A2,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3), (A0,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.3027718550106609808102345415778252, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0), (A2,A3), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3), (A0,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.2963432252306667184436065476180567, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2), (A0,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A0,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.4772478360054888005124308835292080, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A0), (A0,A0), (A0,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.4253948462177888611803823773898587, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A1,A3), (A0,A1), (A0,A2)]>",{A0},"{A1=0.0, A2=0.4142134998513232233125185845970859, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A1), (A0,A3), (A3,A2)]>",{A0},"{A1=0.5, A2=0.0, A3=0.4, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A2), (A3,A0), (A3,A1)]>",{A3},"{A1=0.0, A2=0.5416434516547622199390168786545393, A3=1, A0=0.5}","{A2,A3}"
"<{ A1, A0 },[(A1,A1), (A1,A0)]>",{},"{A1=0.0, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A2), (A0,A0), (A0,A1)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A0=0.4472049689440993788819875776397515}",{}
"<{ A1, A2, A0 },[(A1,A2), (A0,A0), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.4142114384748700173310225303292894, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A1), (A0,A2)]>",{A0},"{A1=0.4142114384748700173310225303292894, A2=0.4142114384748700173310225303292894, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2)]>",{A0},"{A1=0.0, A2=0.0, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1)]>",{A0},"{A1=0.0, A2=0.7548630737833635051483261654113632, A0=1}","{A2,A0}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A2)]>",{A0},"{A1=0.0, A2=0.0, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A2), (A2,A2), (A0,A0), (A1,A0)]>",{A1},"{A1=1, A2=0.0, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A0,A0), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3966027002642897435332424513452045, A0=1}",{A0}
"<{ A1, A0 },[(A0,A0), (A1,A0)]>",{A1},"{A1=1, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A1)]>",{A0},"{A1=0.0, A2=0.0, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2)]>",{},"{A1=0.0, A2=0.0, A0=0.6769143289112159462191656870579126}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A1)]>",{},"{A1=0.0, A2=0.6751471087073495732105949031353636, A0=0.5969817067384638035800567009073528}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A2)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.0, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A1)]>",{A0},"{A1=0.0, A2=0.0, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4606026134637451965405060302734902, A0=0.6631495784549991757317517298177434}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4772478360054888005124308835292080, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A0,A1), (A0,A2)]>",{},"{A1=0.4772478360054888005124308835292080, A2=0.4772478360054888005124308835292080, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A1)]>",{},"{A1=0.6638933602292140329792159839446528, A2=0.0, A0=0.0}",{}
"<{ A1, A0 },[(A0,A1), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A0,A1)]>",{},"{A1=0.0, A2=0.7309781145099841409534974748401909, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.4553421465782622080874357416557334, A2=0.6871354770121729394936525382576299, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A2)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.6666564941406250000000000000000000}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A0=0.4655617626703580843531289797873771}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.7389738131084987693761007163779477, A0=0.7389738131084987693761007163779477}",{}
"<{ A1, A0 },[(A1,A1), (A0,A0)]>",{},"{A1=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A0,A2)]>",{},"{A1=0.0, A2=0.4708391221765980976995380196037353, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6823178725614911278657787208368868, A2=0.4655617626703580843531289797873771, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A1)]>",{},"{A1=0.0, A2=0.7282525061596426556981828888799331, A0=0.5786090863799407852495993259792405}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.4655617626703580843531289797873771, A2=0.6823178725614911278657787208368868, A0=0.4655617626703580843531289797873771}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.4238569183260050296398944694325345, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.7197210158479489758676455258319217, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A0 },[(A1,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6823178725614911278657787208368868, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.4840118128515936291964071547641483, A2=0.6738253731787005603040727674634888, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.7245081566812483400623679547363505}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4999885559955139502414684946556499, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.0, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1)]>",{},"{A1=0.0, A2=0.0, A0=0.6566103543801471436621256022090373}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A1)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A2)]>",{},"{A1=0.0, A2=0.4999885559955139502414684946556499, A0=0.0}",{}
